ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME
USC00165065,30.0206,-92.7681,3.7,LA,LAKE ARTHUR 7 SW
USC00165266,31.1417,-93.2397,8.5,LA,LEESVILLE
USC00165296,29.7869,-92.2083,0.0,LA,LELAND BOWMAN LOCK
USC00166244,32.6053,-93.2947,56.4,LA,MINDEN
USC00166394,29.6833,-91.1761,1.5,LA,MORGAN CITY
USC00166657,30.0292,-91.8844,4.9,LA,NEW IBERIA AP - ACADIANA RGNL
USC00166686,30.7267,-91.3672,13.7,LA,NEW ROADS 5 NE
USC00166938,30.6036,-92.7739,19.8,LA,OBERLIN FIRE TWR
USC00167738,32.4219,-93.6381,47.2,LA,RED RVR RSCH STN
USC00167932,29.7286,-92.8181,1.2,LA,ROCKEFELLER WL REFUGE
USC00168067,32.51,-92.6503,89.9,LA,RUSTON LA TECH
USC00168163,31.9497,-91.2336,23.8,LA,ST JOSEPH 3 N
USC00168539,30.265,-89.7697,3.0,LA,SLIDELL
USC00168923,32.3994,-91.1842,25.9,LA,TALLULAH
USC00169013,29.7547,-90.7747,4.6,LA,THIBODAUX 4 SE
USC00169806,32.0997,-91.7022,24.4,LA,WINNSBORO 5 SSE
USC00220021,33.83,-88.5206,57.3,MS,ABERDEEN
USC00220488,34.3161,-89.9558,71.9,MS,BATESVILLE
USC00220585,31.2353,-88.9189,52.4,MS,BEAUMONT EXPSTATION
USC00220660,33.1772,-90.4919,35.1,MS,BELZONI
USC00220792,30.3931,-89.0008,3.0,MS,BILOXI
USC00220955,34.6344,-88.5622,149.4,MS,BOONEVILLE
USC00221094,31.5447,-90.4581,132.6,MS,BROOKHAVEN CITY
USC00221314,33.8592,-89.3136,87.5,MS,CALHOUN CITY
USC00221389,32.6714,-90.0361,76.2,MS,CANTON 4N
USC00221707,34.1864,-90.5572,52.7,MS,CLARKSDALE
USC00221738,33.7367,-90.7444,42.1,MS,CLEVELAND
USC00221865,31.2503,-89.8361,45.7,MS,COLUMBIA
USC00221880,33.4678,-88.3847,44.2,MS,COLUMBUS
USC00221962,34.9158,-88.6011,121.6,MS,CORINTH 5 WSW
USC00222094,31.9461,-90.3775,148.4,MS,CRYSTAL SPRINGS EXP STN
USC00223887,31.2547,-89.3392,117.3,MS,HATTIESBURG 5SW
USC00223920,31.8328,-90.4542,182.9,MS,HAZLEHURST 5 SW
USC00223975,34.8042,-90.0103,98.1,MS,HERNANDO
USC00224173,34.8219,-89.4347,147.2,MS,HOLLY SPRINGS 4 N
USC00224265,33.8847,-88.9867,99.4,MS,HOUSTON
USC00224377,34.6989,-89.8214,105.2,MS,INDEPENDENCE 1W
USC00224776,33.0583,-89.5797,125.0,MS,KOSCIUSKO
USC00224939,31.6756,-89.1236,68.6,MS,LAUREL
USC00225247,33.1356,-89.0711,177.1,MS,LOUISVILLE
USC00225361,33.1544,-88.5586,76.2,MS,MACON 3N
USC00226177,31.5889,-91.3408,59.4,MS,NATCHEZ
USC00226308,32.3378,-89.0817,106.4,MS,NEWTON EXP STN
USC00226476,32.2061,-90.5133,62.5,MS,OAKLEY EXP STN
USC00226894,32.7692,-89.1303,125.9,MS,PHILA 1 WSW
USC00227111,34.1383,-89.0058,150.0,MS,PONTOTOC EXP STN
USC00227128,30.8408,-89.5453,95.4,MS,POPLARVILLE EXP STN
USC00227132,31.985,-90.9719,36.6,MS,PORT GIBSON 1 NE
USC00227815,34.4203,-89.8106,97.8,MS,SARDIS DAM
USC00227840,30.6264,-89.055,69.8,MS,SAUCIER EXP FOREST
USC00228374,33.4692,-88.7822,56.4,MS,STATE UNIV
USC00228445,33.4311,-90.9108,38.7,MS,STONEVILLE EXP STN
USC00229079,34.3725,-89.5308,131.1,MS,UNIVERSITY
USC00229173,34.1647,-88.7239,89.3,MS,VERONA EXP STN
USC00229400,34.1647,-89.635,125.0,MS,WATER VALLEY
USC00229426,30.2947,-89.3831,2.4,MS,WAVELAND
USC00229439,31.6772,-88.6708,61.0,MS,WAYNESBORO 2 W
USC00229639,30.8528,-89.1369,82.0,MS,WIGGINS
USC00229743,33.4844,-89.625,119.5,MS,WINONA 5 E
USC00410012,33.8411,-101.8508,1023.8,TX,ABERNATHY
USC00410120,32.7047,-99.3011,441.4,TX,ALBANY
USC00410174,30.3764,-103.66,1356.4,TX,ALPINE
USC00410225,29.4608,-101.0286,352.7,TX,AMISTAD DAM
USC00410268,32.7667,-99.89,523.3,TX,ANSON
USC00410337,32.7572,-97.0736,163.4,TX,ARLINGTON SIX FLAGS
USC00410394,33.1525,-100.2331,534.6,TX,ASPERMONT
USC00410404,32.1633,-95.83,136.6,TX,ATHENS
USC00410436,28.3889,-96.8389,7.0,TX,AUSTWELL
USC00410482,30.8878,-102.3008,776.3,TX,BAKERSFIELD
USC00410493,31.7414,-99.9764,518.2,TX,BALLINGER 2 NW
USC00410498,30.9839,-103.7408,970.8,TX,BALMORHEA
USC00410518,32.2631,-96.6369,140.5,TX,BARDWELL DAM
USC00410569,28.9797,-95.975,15.8,TX,BAY CITY WTR WKS
USC00410586,29.9142,-94.9908,7.9,TX,BAYTOWN
USC00410611,30.0969,-94.0997,6.1,TX,BEAUMONT CITY
USC00410613,30.0686,-94.2928,10.4,TX,BEAUMONT RSCH CTR
USC00410639,28.4575,-97.7061,77.7,TX,BEEVILLE 5 NE
USC00410690,27.5969,-98.4161,115.8,TX,BENAVIDES #2
USC00410691,32.6475,-97.4439,240.8,TX,BENBROOK DAM
USC00410779,31.2,-101.4625,833.3,TX,BIG LAKE 2
USC00410832,30.095,-98.4142,399.3,TX,BLANCO
USC00410902,29.7986,-98.7353,440.4,TX,BOERNE
USC00410923,33.64,-96.1669,182.3,TX,BONHAM 3NNE
USC00410984,33.5511,-97.8472,329.2,TX,BOWIE
USC00411000,35.5303,-102.2564,972.6,TX,BOYS RCH
USC00411007,29.3167,-100.4144,341.4,TX,BRACKETTVILLE
USC00411013,29.61,-100.4519,536.4,TX,BRACKETTVILLE 22 N
USC00411017,31.1444,-99.3492,521.5,TX,BRADY
USC00411033,35.62,-103.0072,1268.0,TX,BRAVO
USC00411042,32.75,-98.9017,356.6,TX,BRECKENRIDGE
USC00411048,30.1592,-96.3972,95.4,TX,BRENHAM
USC00411063,33.2064,-97.7761,234.4,TX,BRIDGEPORT
USC00411128,33.1908,-102.2681,1005.8,TX,BROWNFIELD
USC00411138,31.7228,-99.0142,472.7,TX,BROWNWOOD 2NE
USC00411246,32.5067,-97.3444,232.3,TX,BURLESON
USC00411250,30.7586,-98.2339,391.7,TX,BURNET
USC00411429,29.8608,-98.1958,304.8,TX,CANYON DAM
USC00411430,34.9806,-101.9264,1094.2,TX,CANYON
USC00411486,28.4894,-99.8733,186.8,TX,CARRIZO SPRINGS 3S
USC00411500,32.1614,-94.3397,93.0,TX,CARTHAGE
USC00411524,29.1333,-103.5144,661.1,TX,CASTOLON
USC00411596,31.2581,-95.9744,97.5,TX,CENTERVILLE
USC00411715,29.2703,-103.3003,1615.4,TX,CHISOS BASIN
USC00411720,28.4675,-98.2525,70.1,TX,CHOKE CANYON DAM
USC00411800,32.3139,-97.4061,238.7,TX,CLEBURNE
USC00411875,31.8281,-99.4178,514.2,TX,COLEMAN
USC00411911,29.6989,-96.5731,68.6,TX,COLUMBUS
USC00411956,30.3303,-95.4831,74.7,TX,CONROE
USC00411974,31.5333,-101.2842,755.9,TX,COPE RCH
USC00412019,32.1225,-96.4867,138.1,TX,CORSICANA
USC00412082,31.4072,-102.3578,778.5,TX,CRANE
USC00412114,31.3072,-95.4508,105.8,TX,CROCKETT
USC00412121,33.6608,-101.2778,930.2,TX,CROSBYTON
USC00412173,29.0892,-97.3433,65.2,TX,CUERO
USC00412225,32.9203,-94.7225,91.4,TX,DAINGERFIELD 9 S
USC00412238,36.0606,-102.5211,1214.3,TX,DALHART
USC00412266,29.0661,-96.2583,20.4,TX,DANEVANG 1 W
USC00412334,33.2219,-97.5872,317.0,TX,DECATUR
USC00412404,33.1992,-97.105,192.0,TX,DENTON 2 SE
USC00412408,32.9694,-102.8264,1091.2,TX,DENVER CITY
USC00412464,34.5442,-102.3019,1179.6,TX,DIMMITT
USC00412585,30.2194,-97.9878,330.4,TX,DRIPPING SPRINGS 6 E
USC00412617,35.8731,-101.9725,1114.0,TX,DUMAS
USC00412741,31.2211,-99.8503,624.2,TX,EDEN
USC00412786,29.2,-96.2653,33.5,TX,EL CAMPO
USC00412820,30.3642,-97.37,181.1,TX,ELGIN 1 N
USC00412906,27.9775,-99.3847,166.1,TX,ENCINAL
USC00413060,26.5581,-99.1372,97.5,TX,FALCON DAM
USC00413063,27.1353,-98.1203,42.4,TX,FALFURRIAS
USC00413133,32.5339,-96.6608,143.3,TX,FERRIS
USC00413183,29.6339,-97.0644,143.3,TX,FLATONIA 4SE
USC00413214,33.9847,-101.3339,970.2,TX,FLOYDADA
USC00413225,36.4328,-100.1369,844.3,TX,FOLLETT
USC00413257,30.8272,-100.1103,661.1,TX,FT MCKAVETT
USC00413262,30.5997,-103.8869,1482.5,TX,FT DAVIS
USC00413266,31.1847,-105.7411,1064.7,TX,FT HANCOCK 8SSE
USC00413280,30.9072,-102.9153,926.0,TX,FT STOCKTON
USC00413285,32.8342,-97.2981,196.3,TX,FT WORTH WSFO
USC00413329,30.2392,-98.9089,513.6,TX,FREDERICKSBURG
